3.15075;1.98203
3.13534;1.95606
3.14125;1.97217
3.15582;1.95193
3.13283;1.95353
3.12388;1.94972
3.09574;1.95288
3.12681;1.95079
3.12139;1.95496
3.16256;1.95241
3.13637;1.95277
3.14021;1.95862
3.1451;1.96515
3.13004;1.96171
3.1454;1.95136
3.13711;1.95106
3.09243;1.95122
3.10699;1.94991
3.15791;1.96243
3.1041;1.96668
3.1252;1.95246
3.14465;1.99212
3.13519;1.96328
3.1454;1.95038
3.14748;1.95718
3.15403;1.96309
3.13903;1.9582
3.174;1.95827
3.14332;1.95837
3.13048;1.95285
3.13652;1.95719
3.12989;1.97018
3.17914;1.96357
3.12725;1.95094
3.13903;1.94953
3.15881;1.94965
3.15254;1.96779
3.13327;1.95039
3.13622;1.95112
3.15164;1.95354
3.13918;1.96345
3.13652;1.96216
3.16451;1.9514
3.14243;1.96074
3.13622;1.96378
3.1211;1.95066
3.12593;1.95014
3.12989;1.95084
3.12271;1.95538
3.13004;1.94762
3.14896;1.94973
3.10873;1.9621
3.12241;1.97025
3.12271;1.95748
3.11119;1.95063
3.1408;1.96277
3.11891;1.96588
3.12666;1.96099
3.13607;1.95121
3.18172;1.94852
3.15701;1.9502
3.17068;1.95164
3.12227;1.97
3.14362;1.95147
3.13652;1.95005
3.13165;1.94918
3.14051;1.95092
3.12578;1.98577
3.15582;1.95142
3.13607;1.95658
3.15612;1.95213
3.16451;1.95504
3.12124;1.95867
3.13327;1.96176
3.15582;1.95694
3.18142;1.9508
3.1454;1.94844
3.13593;1.95011
3.13918;1.94976
3.13401;1.95936
3.11978;1.96293
3.13829;1.95295
3.11061;1.99429
3.14288;1.95034
3.15791;1.95509
3.15149;1.95075
3.14436;1.95884
3.09761;1.96247
3.14362;1.95177
3.15179;1.95819
3.12329;1.94916
3.14021;1.95227
3.15179;1.95868
3.15582;1.95125
3.14406;1.95047
3.14554;1.95172
3.16466;1.95266
3.12329;1.95691
3.15701;1.95886
3.15209;1.95249
3.18248;1.95019
3.13254;1.9489
3.13048;1.9605
3.15388;1.96368
3.11832;1.95311
3.14807;1.96031
3.1321;1.96173
3.1125;1.96128
3.14288;1.9585
3.17264;1.96121
