0;-nan;0.1090861090
100000;3.1628554259;0.1234202330
200000;3.1286419348;0.1336665160
300000;3.1516908822;0.1467477410
400000;3.1270276820;0.1549647150
500000;3.1470886283;0.1805477680
600000;3.1277367697;0.1813899240
700000;3.1412672770;0.1929791560
800000;3.1333290250;0.2047919400
900000;3.1449178128;0.2129047220
1000000;3.1346881455;0.2313102960
0;-nan;0.1244900380
100000;3.1077133445;0.1191627050
200000;3.1380671076;0.1346492560
300000;3.1289600901;0.1468905540
400000;3.1155923715;0.1581144120
500000;3.1521478736;0.1735500860
600000;3.1412708011;0.2521890610
700000;3.1401892637;0.1912632320
800000;3.1453217271;0.2037107470
900000;3.1491930193;0.2174278500
1000000;3.1468063849;0.2246069170
0;-nan;0.1082088470
100000;3.1375502008;0.1287609610
200000;3.1171583984;0.1365148030
300000;3.1387319523;0.1531946030
400000;3.1357054945;0.1539477140
500000;3.1388206195;0.1748108850
600000;3.1429985778;0.1866744570
700000;3.1409712781;0.1944365600
800000;3.1498357164;0.2068562400
900000;3.1386498575;0.2150871230
1000000;3.1525801504;0.2274088950
0;-nan;0.1116712690
100000;3.1359267448;0.1215612850
200000;3.1436902208;0.1333522830
300000;3.1602566128;0.1519913580
400000;3.1600818461;0.1647177260
500000;3.1382295992;0.1743348890
600000;3.1357300764;0.1832261620
700000;3.1408232995;0.1901873900
800000;3.1369596587;0.2020756000
900000;3.1385020976;0.2036090310
1000000;3.1468509463;0.2344632440
0;-nan;0.1135492080
100000;3.1526845109;0.1218295360
200000;3.1411721284;0.1354334960
300000;3.1398652998;0.1454768540
400000;3.1432826086;0.1673188640
500000;3.1351009032;0.1726419660
600000;3.1382886912;0.1830262390
700000;3.1401892637;0.1991046060
800000;3.1349682193;0.2061792300
900000;3.1406870776;0.2228900030
1000000;3.1399441718;0.2311211790
0;-nan;0.1235565570
100000;3.1455443364;0.1215078640
200000;3.1438384696;0.1406521470
300000;3.1500031500;0.1501137490
400000;3.1402843527;0.1508567510
500000;3.1394709991;0.1756598090
600000;3.1478464795;0.1899965170
700000;3.1430867806;0.1929318060
800000;3.1386211253;0.2038295450
900000;3.1398324376;0.2176260240
1000000;3.1447282562;0.2168380940
0;-nan;0.1287560450
100000;3.1458411979;0.1254927660
200000;3.1365168980;0.1347227530
300000;3.1470292044;0.1493444830
400000;3.1419123249;0.1584141530
500000;3.1428751021;0.1663668870
600000;3.1372549020;0.1886212060
700000;3.1481543945;0.2027372340
800000;3.1350603597;0.2065042690
900000;3.1401939593;0.2172397490
1000000;3.1399885390;0.2315124080
0;-nan;0.1226857980
100000;3.1173041554;0.1242362880
200000;3.1442091528;0.1342573820
300000;3.1430726678;0.1474532180
400000;3.1630805241;0.1549306040
500000;3.1398258653;0.1696926780
600000;3.1369596587;0.1827325580
700000;3.1504709954;0.1909397300
800000;3.1526099670;0.2085953360
900000;3.1443409723;0.2158007410
1000000;3.1466430039;0.2237547910
0;-nan;0.1186260320
100000;3.1418382896;0.1251866870
200000;3.1462865952;0.1384652040
300000;3.1432702584;0.1470679150
400000;3.1402473730;0.1641634100
500000;3.1473263463;0.1712834370
600000;3.1448518775;0.1777328150
700000;3.1439973231;0.1991399960
800000;3.1538030923;0.2033145340
900000;3.1306743473;0.2222705550
1000000;3.1305371376;0.2308189920
0;-nan;0.1203905150
100000;3.1200761299;0.1200665470
200000;3.1461381155;0.1329783250
300000;3.1374025444;0.1476333960
400000;3.1466207260;0.1581395160
500000;3.1417198403;0.1715077720
600000;3.1547234096;0.1822922560
700000;3.1305203372;0.1910421540
800000;3.1473077733;0.2049244910
900000;3.1315730413;0.2161385980
1000000;3.1468212385;0.2240500820
